FZS09 Emission Map

Labels,Ex=300.00nm,Ex=400.00nm,Ex=500.00nm,Ex=600.00nm,Ex=700.00nm,Ex=800.00nm,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,700.00,700.00,700.00,700.00,702.00,802.00,
Stop,950.00,950.00,950.00,950.00,950.00,950.00,
Step,0.500,0.500,0.500,0.500,0.500,0.500,
Fixed/Offset,300.00,400.00,500.00,600.00,700.00,800.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Detector,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,

750.00,8.52315156E+4,1.66685391E+5,2.02340438E+5,1.93165266E+5,1.55877063E+5, ,
750.500,8.84572813E+4,1.73694969E+5,2.09014047E+5,2.01864531E+5,1.63120844E+5, ,
751.00,9.21996641E+4,1.79149391E+5,2.12487578E+5,2.10329672E+5,1.71241703E+5, ,
751.500,9.55068438E+4,1.87861047E+5,2.21665094E+5,2.17876094E+5,1.75916688E+5, ,
752.00,9.72134844E+4,1.95034313E+5,2.32577516E+5,2.25261344E+5,1.79698844E+5, ,
752.500,1.04375273E+5,2.05094172E+5,2.39600703E+5,2.29214094E+5,1.92022031E+5, ,
753.00,1.05603258E+5,2.08755453E+5,2.48449875E+5,2.44451688E+5,1.96616969E+5, ,
753.500,1.12065719E+5,2.18109797E+5,2.57217984E+5,2.58069625E+5,2.03478234E+5, ,
754.00,1.15796133E+5,2.29228828E+5,2.72120594E+5,2.62944938E+5,2.15059891E+5, ,
754.500,1.21575359E+5,2.37290016E+5,2.82113719E+5,2.79311219E+5,2.19258375E+5, ,
755.00,1.22591258E+5,2.44787656E+5,2.87492406E+5,2.88259719E+5,2.27809625E+5, ,
755.500,1.30127547E+5,2.55570234E+5,3.05335781E+5,2.98261281E+5,2.32868750E+5, ,
756.00,1.35413641E+5,2.63527313E+5,3.16213375E+5,3.10053063E+5,2.47251547E+5, ,
756.500,1.39429313E+5,2.75789500E+5,3.28104813E+5,3.19201094E+5,2.60788703E+5, ,
757.00,1.47466984E+5,2.83928188E+5,3.41486344E+5,3.34092969E+5,2.68500094E+5, ,
757.500,1.49654594E+5,2.94522188E+5,3.51824250E+5,3.52238563E+5,2.77692281E+5, ,
758.00,1.54151063E+5,3.09115531E+5,3.67839000E+5,3.61622344E+5,2.86763875E+5, ,
758.500,1.57897703E+5,3.17420219E+5,3.79939469E+5,3.77695813E+5,2.95707688E+5, ,
759.00,1.63941641E+5,3.27856563E+5,3.96477813E+5,3.83851500E+5,3.10791031E+5, ,
