Vmeas,Imeas,Jmeas (mA/cm2),name,substrate,position,batch
0.407,0.00159902,20.766493506493507,A1-3-B,3,B,1
0.42,0.00159512,20.715844155844156,A1-3-B,3,B,1
0.433,0.001591,20.662337662337663,A1-3-B,3,B,1
0.446,0.00158631,20.601428571428574,A1-3-B,3,B,1
0.459,0.00158142,20.53792207792208,A1-3-B,3,B,1
0.472,0.0015768,20.477922077922077,A1-3-B,3,B,1
0.485,0.00157172,20.411948051948052,A1-3-B,3,B,1
0.498,0.0015665,20.344155844155846,A1-3-B,3,B,1
0.511,0.00156083,20.270519480519482,A1-3-B,3,B,1
0.524,0.00155472,20.191168831168834,A1-3-B,3,B,1
0.537,0.0015482,20.106493506493507,A1-3-B,3,B,1
0.55,0.00154169,20.021948051948055,A1-3-B,3,B,1
0.563,0.00153494,19.934285714285714,A1-3-B,3,B,1
0.576,0.00152737,19.835974025974025,A1-3-B,3,B,1
0.589,0.00151982,19.73792207792208,A1-3-B,3,B,1
0.602,0.00151171,19.632597402597405,A1-3-B,3,B,1
0.615,0.00150315,19.521428571428572,A1-3-B,3,B,1
0.628,0.00149415,19.404545454545456,A1-3-B,3,B,1
0.641,0.00148468,19.28155844155844,A1-3-B,3,B,1
0.654,0.0014744,19.14805194805195,A1-3-B,3,B,1
0.667,0.00146421,19.01571428571429,A1-3-B,3,B,1
0.68,0.00145343,18.875714285714285,A1-3-B,3,B,1
0.693,0.00144187,18.725584415584418,A1-3-B,3,B,1
0.706,0.00142964,18.566753246753247,A1-3-B,3,B,1
0.719,0.00141712,18.404155844155845,A1-3-B,3,B,1
0.732,0.00140366,18.229350649350646,A1-3-B,3,B,1
0.745,0.00138954,18.04597402597403,A1-3-B,3,B,1
0.758,0.00137419,17.846623376623377,A1-3-B,3,B,1
0.771,0.00135811,17.63779220779221,A1-3-B,3,B,1
0.784,0.00134149,17.421948051948053,A1-3-B,3,B,1
0.797,0.00132303,17.182207792207794,A1-3-B,3,B,1
0.81,0.00130426,16.93844155844156,A1-3-B,3,B,1
0.823,0.00128383,16.673116883116883,A1-3-B,3,B,1
0.836,0.001262,16.389610389610393,A1-3-B,3,B,1
0.849,0.00123856,16.085194805194806,A1-3-B,3,B,1
0.862,0.00121339,15.75831168831169,A1-3-B,3,B,1
0.875,0.00118626,15.405974025974027,A1-3-B,3,B,1
0.888,0.00115711,15.027402597402599,A1-3-B,3,B,1
0.901,0.00112607,14.624285714285715,A1-3-B,3,B,1
0.914,0.00109192,14.18077922077922,A1-3-B,3,B,1
0.927,0.00105509,13.702467532467534,A1-3-B,3,B,1
0.94,0.00101576,13.191688311688312,A1-3-B,3,B,1
0.953,0.00098236,12.757922077922078,A1-3-B,3,B,1
0.966,0.00093405,12.13051948051948,A1-3-B,3,B,1
0.979,0.0008829,11.466233766233767,A1-3-B,3,B,1
0.992,0.00082851,10.75987012987013,A1-3-B,3,B,1
1.005,0.00077039,10.005064935064937,A1-3-B,3,B,1
1.018,0.00070835,9.199350649350649,A1-3-B,3,B,1
1.031,0.00064244,8.343376623376622,A1-3-B,3,B,1
1.044,0.00057234,7.432987012987013,A1-3-B,3,B,1
1.057,0.00049839,6.472597402597404,A1-3-B,3,B,1
1.07,0.00042055,5.461688311688311,A1-3-B,3,B,1
1.083,0.00033924,4.405714285714286,A1-3-B,3,B,1
1.096,0.00025431,3.3027272727272727,A1-3-B,3,B,1
1.109,0.00016603,2.1562337662337665,A1-3-B,3,B,1
1.122,8.01e-05,1.0402597402597402,A1-3-B,3,B,1
1.135,-1.562e-05,-0.20285714285714287,A1-3-B,3,B,1
1.148,-0.00010673,-1.3861038961038963,A1-3-B,3,B,1
1.161,-0.00020871,-2.7105194805194808,A1-3-B,3,B,1
1.174,-0.00031295,-4.064285714285714,A1-3-B,3,B,1
1.187,-0.00041948,-5.447792207792208,A1-3-B,3,B,1
1.2,-0.00052838,-6.862077922077921,A1-3-B,3,B,1
-0.1,0.00169104,21.96155844155844,A1-3-C,3,C,1
-0.087,0.00169006,21.94883116883117,A1-3-C,3,C,1
-0.074,0.00168946,21.941038961038963,A1-3-C,3,C,1
-0.061,0.001689,21.935064935064936,A1-3-C,3,C,1
-0.048,0.00168833,21.926363636363636,A1-3-C,3,C,1
-0.035,0.0016875,21.915584415584416,A1-3-C,3,C,1
-0.022,0.00168739,21.914155844155843,A1-3-C,3,C,1
-0.009,0.00168656,21.903376623376623,A1-3-C,3,C,1
0.004,0.00168675,21.905844155844157,A1-3-C,3,C,1
0.017,0.00168605,21.896753246753246,A1-3-C,3,C,1
0.03,0.001685,21.883116883116884,A1-3-C,3,C,1
0.043,0.00168418,21.87246753246753,A1-3-C,3,C,1
0.056,0.00168358,21.864675324675325,A1-3-C,3,C,1
0.069,0.00168243,21.84974025974026,A1-3-C,3,C,1
0.082,0.00168186,21.842337662337663,A1-3-C,3,C,1
0.095,0.00168099,21.83103896103896,A1-3-C,3,C,1
0.108,0.00168008,21.819220779220778,A1-3-C,3,C,1
0.121,0.00167911,21.806623376623374,A1-3-C,3,C,1
0.134,0.00167857,21.79961038961039,A1-3-C,3,C,1
0.147,0.00167714,21.78103896103896,A1-3-C,3,C,1
0.16,0.00167608,21.767272727272726,A1-3-C,3,C,1
0.173,0.00167509,21.754415584415586,A1-3-C,3,C,1
0.186,0.00167437,21.74506493506493,A1-3-C,3,C,1
0.199,0.00167286,21.725454545454543,A1-3-C,3,C,1
0.212,0.00167212,21.715844155844156,A1-3-C,3,C,1
