Vmeas,Imeas,name,substrate,position
-0.035,0.00152424,A1-3,1,3
-0.048,0.00152588,A1-3,1,3
-0.061,0.00152737,A1-3,1,3
-0.074,0.0015289,A1-3,1,3
-0.087,0.00153063,A1-3,1,3
-0.1,0.0015319,A1-3,1,3
1.2,-0.00056447,A1-4,1,4
1.187,-0.00048561,A1-4,1,4
1.174,-0.00040678,A1-4,1,4
1.161,-0.000331,A1-4,1,4
1.148,-0.0002596,A1-4,1,4
1.135,-0.00019356,A1-4,1,4
1.122,-0.00013312,A1-4,1,4
1.109,-7.734e-05,A1-4,1,4
1.096,-2.827e-05,A1-4,1,4
1.083,1.651e-05,A1-4,1,4
1.07,5.698e-05,A1-4,1,4
1.057,9.424e-05,A1-4,1,4
1.044,0.0001281,A1-4,1,4
1.031,0.00016263,A1-4,1,4
1.018,0.00019593,A1-4,1,4
1.005,0.00022793,A1-4,1,4
0.992,0.00025948,A1-4,1,4
0.979,0.00029074,A1-4,1,4
0.966,0.00032208,A1-4,1,4
0.953,0.0003535,A1-4,1,4
0.94,0.0003852,A1-4,1,4
0.927,0.00041655,A1-4,1,4
0.914,0.00044795,A1-4,1,4
0.901,0.00047943,A1-4,1,4
0.888,0.00051047,A1-4,1,4
0.875,0.00054145,A1-4,1,4
0.862,0.00057185,A1-4,1,4
0.849,0.0006021,A1-4,1,4
0.836,0.00063131,A1-4,1,4
0.823,0.0006603,A1-4,1,4
0.81,0.00068866,A1-4,1,4
0.797,0.00071576,A1-4,1,4
0.784,0.00074312,A1-4,1,4
0.771,0.00076979,A1-4,1,4
0.758,0.00079568,A1-4,1,4
0.745,0.00081986,A1-4,1,4
0.732,0.00084505,A1-4,1,4
0.719,0.00086853,A1-4,1,4
0.706,0.00089144,A1-4,1,4
0.693,0.00091404,A1-4,1,4
0.68,0.00093598,A1-4,1,4
0.667,0.00095686,A1-4,1,4
0.654,0.00097763,A1-4,1,4
0.641,0.00099792,A1-4,1,4
0.628,0.00101704,A1-4,1,4
0.615,0.00103633,A1-4,1,4
0.602,0.00105019,A1-4,1,4
0.589,0.00106392,A1-4,1,4
0.576,0.00107936,A1-4,1,4
0.563,0.00109625,A1-4,1,4
0.55,0.001113,A1-4,1,4
0.537,0.00112928,A1-4,1,4
0.524,0.00114406,A1-4,1,4
0.511,0.00115952,A1-4,1,4
0.498,0.00117366,A1-4,1,4
0.485,0.00118717,A1-4,1,4
0.472,0.00119981,A1-4,1,4
0.459,0.00121258,A1-4,1,4
0.446,0.00122465,A1-4,1,4
0.433,0.00123536,A1-4,1,4
0.42,0.00124562,A1-4,1,4
0.407,0.00125528,A1-4,1,4
0.394,0.00126458,A1-4,1,4
0.381,0.00127289,A1-4,1,4
0.368,0.00128132,A1-4,1,4
0.355,0.00128961,A1-4,1,4
0.342,0.00129668,A1-4,1,4
0.329,0.00130255,A1-4,1,4
0.316,0.00130952,A1-4,1,4
0.303,0.0013152,A1-4,1,4
0.29,0.00132073,A1-4,1,4
0.277,0.00132616,A1-4,1,4
0.264,0.00133131,A1-4,1,4
0.251,0.00133544,A1-4,1,4
0.238,0.00134006,A1-4,1,4
0.225,0.00134364,A1-4,1,4
0.212,0.00134746,A1-4,1,4
0.199,0.00135093,A1-4,1,4
0.186,0.00135478,A1-4,1,4
0.173,0.00135776,A1-4,1,4
0.16,0.00136098,A1-4,1,4
0.147,0.00136385,A1-4,1,4
0.134,0.00136692,A1-4,1,4
0.121,0.00136965,A1-4,1,4
0.108,0.00137164,A1-4,1,4
0.095,0.00137447,A1-4,1,4
0.082,0.00137676,A1-4,1,4
0.069,0.00137927,A1-4,1,4
0.056,0.00138093,A1-4,1,4
0.043,0.00138345,A1-4,1,4
0.03,0.00138559,A1-4,1,4
0.017,0.00138713,A1-4,1,4
0.004,0.0013893,A1-4,1,4
-0.009,0.00139246,A1-4,1,4
-0.022,0.00139328,A1-4,1,4
-0.035,0.00139472,A1-4,1,4
-0.048,0.00139749,A1-4,1,4
-0.061,0.00139816,A1-4,1,4
-0.074,0.00140007,A1-4,1,4
-0.087,0.00140223,A1-4,1,4
-0.1,0.00140368,A1-4,1,4
1.2,-0.00166941,A1-5,1,5
1.187,-0.00156038,A1-5,1,5
1.174,-0.00148944,A1-5,1,5
1.161,-0.0014441,A1-5,1,5
1.148,-0.00139896,A1-5,1,5
1.135,-0.00133746,A1-5,1,5
1.122,-0.00130085,A1-5,1,5
1.109,-0.00126845,A1-5,1,5
1.096,-0.00117788,A1-5,1,5
1.083,-0.0010866,A1-5,1,5
1.07,-0.00119848,A1-5,1,5
1.057,-0.00121152,A1-5,1,5
1.044,-0.00117614,A1-5,1,5
1.031,-0.00115028,A1-5,1,5
1.018,-0.00111487,A1-5,1,5
1.005,-0.00109012,A1-5,1,5
0.992,-0.00104301,A1-5,1,5
0.979,-0.00100337,A1-5,1,5
0.966,-0.00097071,A1-5,1,5
0.953,-0.00093223,A1-5,1,5
0.94,-0.00089905,A1-5,1,5
0.927,-0.00086022,A1-5,1,5
0.914,-0.00082375,A1-5,1,5
0.901,-0.0007818,A1-5,1,5
0.888,-0.00074448,A1-5,1,5
0.875,-0.0007104,A1-5,1,5
0.862,-0.00066813,A1-5,1,5
0.849,-0.00062841,A1-5,1,5
