001		  002		003		 004		  005		  006		  007		  008		  009		 010		  011		011-2		012		013		 014		015		 016		017		 018	
06/12_11:42:48	Time=83.000 sec	06/12_11:45:03	Time=82.000 sec	06/12_11:47:13	Time=82.000 sec	06/12_11:49:17	Time=83.000 sec	06/12_11:51:30	Time=83.000 sec	06/12_11:53:38	Time=82.000 sec	06/12_12:01:16	Time=83.000 sec	06/12_12:04:23	Time=83.000 sec	06/12_12:06:24	Time=83.000 sec	06/12_12:09:11	Time=82.000 sec	06/12_12:12:15	Time=82.000 sec	06/12_12:13:58	Time=82.000 sec	06/12_12:16:20	Time=82.000 sec	06/12_12:18:34	Time=82.000 sec	06/12_12:20:58	Time=82.000 sec	06/12_12:23:34	Time=82.000 sec	06/12_12:25:41	Time=82.000 sec	06/12_12:28:38	Time=83.000 sec	06/12_12:30:46	Time=82.000 sec
																																					
Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)
520.000000	0.950705	520.000000	0.821734	520.000000	0.905802	520.000000	0.966827	520.000000	1.117478	520.000000	1.469787	520.000000	1.519315	520.000000	1.519650	520.000000	1.402308	520.000000	33.029970	520.000000	33.495435	520.000000	33.388611	520.000000	2.838197	520.000000	32.638544	520.000000	43.480336	520.000000	44.093142	520.000000	46.767001	520.000000	21.995411	520.000000	2.587782
530.000000	0.888696	530.000000	0.894652	530.000000	1.029864	530.000000	1.026097	530.000000	1.415169	530.000000	1.437307	530.000000	1.569687	530.000000	1.701764	530.000000	1.525427	530.000000	33.656415	530.000000	34.138265	530.000000	34.204785	530.000000	3.464257	530.000000	32.912193	530.000000	43.790312	530.000000	44.487149	530.000000	47.850146	530.000000	22.524707	530.000000	2.684371
540.000000	0.833669	540.000000	0.866252	540.000000	0.975719	540.000000	1.011272	540.000000	1.306264	540.000000	1.551320	540.000000	1.622457	540.000000	1.796861	540.000000	1.584959	540.000000	34.123907	540.000000	34.906719	540.000000	35.004815	540.000000	4.405262	540.000000	33.150892	540.000000	44.307999	540.000000	44.676933	540.000000	48.865689	540.000000	23.156474	540.000000	2.651954
550.000000	0.941934	550.000000	0.890760	550.000000	1.101683	550.000000	1.116172	550.000000	1.406096	550.000000	1.620546	550.000000	1.729307	550.000000	2.121694	550.000000	1.971448	550.000000	34.746027	550.000000	36.073555	550.000000	36.114089	550.000000	5.684727	550.000000	33.388230	550.000000	44.747623	550.000000	45.154022	550.000000	50.179208	550.000000	23.834588	550.000000	2.741836
560.000000	0.824242	560.000000	1.033691	560.000000	1.193657	560.000000	1.224610	560.000000	1.491307	560.000000	1.822047	560.000000	2.141714	560.000000	2.615861	560.000000	2.403585	560.000000	35.559450	560.000000	37.177347	560.000000	37.243585	560.000000	7.060951	560.000000	33.861634	560.000000	45.345175	560.000000	45.371315	560.000000	51.783203	560.000000	24.271045	560.000000	2.930319
570.000000	0.891710	570.000000	1.219346	570.000000	1.359512	570.000000	1.312482	570.000000	1.757239	570.000000	2.197250	570.000000	2.707180	570.000000	3.212912	570.000000	3.043284	570.000000	36.337476	570.000000	38.315534	570.000000	38.380602	570.000000	8.521759	570.000000	33.957695	570.000000	45.888319	570.000000	45.964506	570.000000	53.350686	570.000000	25.074322	570.000000	3.070584
580.000000	0.989590	580.000000	1.432926	580.000000	1.703949	580.000000	1.454694	580.000000	2.183849	580.000000	2.591388	580.000000	3.291532	580.000000	3.979159	580.000000	3.841171	580.000000	36.903224	580.000000	39.478656	580.000000	39.450269	580.000000	10.196325	580.000000	34.407197	580.000000	46.624659	580.000000	46.330341	580.000000	54.501245	580.000000	25.847202	580.000000	3.401104
590.000000	0.990743	590.000000	1.749179	590.000000	1.931061	590.000000	1.814574	590.000000	2.690644	590.000000	3.187733	590.000000	4.084474	590.000000	4.902539	590.000000	4.741336	590.000000	37.697680	590.000000	40.679548	590.000000	40.727846	590.000000	11.998671	590.000000	34.548487	590.000000	47.530742	590.000000	46.853152	590.000000	55.951020	590.000000	26.671183	590.000000	3.815302
600.000000	1.000153	600.000000	2.153862	600.000000	2.378058	600.000000	2.246481	600.000000	3.091785	600.000000	3.873518	600.000000	5.016320	600.000000	5.873454	600.000000	5.826756	600.000000	38.474094	600.000000	41.623325	600.000000	41.760084	600.000000	13.648077	600.000000	34.757240	600.000000	48.143408	600.000000	47.325709	600.000000	56.967751	600.000000	27.305711	600.000000	4.410341
610.000000	1.102410	610.000000	2.575411	610.000000	2.908832	610.000000	2.722490	610.000000	3.821029	610.000000	4.705710	610.000000	6.021642	610.000000	6.933358	610.000000	6.889453	610.000000	39.188420	610.000000	42.855613	610.000000	42.857278	610.000000	15.512275	610.000000	35.143069	610.000000	49.023671	610.000000	47.923447	610.000000	58.227811	610.000000	27.920775	610.000000	4.755951
620.000000	1.297982	620.000000	3.178307	620.000000	3.512052	620.000000	3.347686	620.000000	4.501185	620.000000	5.594448	620.000000	7.079914	620.000000	8.121999	620.000000	8.100431	620.000000	39.902471	620.000000	43.901473	620.000000	43.849444	620.000000	17.249114	620.000000	35.214681	620.000000	49.664157	620.000000	48.399787	620.000000	59.262208	620.000000	28.587288	620.000000	5.464588
630.000000	1.441390	630.000000	3.753081	630.000000	4.108806	630.000000	4.049960	630.000000	5.474410	630.000000	6.626620	630.000000	8.176031	630.000000	9.506646	630.000000	9.218387	630.000000	40.655600	630.000000	44.790841	630.000000	44.857609	630.000000	19.049899	630.000000	35.415009	630.000000	50.495665	630.000000	49.088574	630.000000	60.464270	630.000000	29.296511	630.000000	6.161440
640.000000	1.755421	640.000000	4.497176	640.000000	4.786241	640.000000	4.722869	640.000000	6.530070	640.000000	7.737498	640.000000	9.399004	640.000000	10.869840	640.000000	10.901379	640.000000	41.605504	640.000000	45.822336	640.000000	45.965117	640.000000	20.913660	640.000000	35.838834	640.000000	51.483381	640.000000	49.806621	640.000000	61.504005	640.000000	29.805662	640.000000	7.008527
650.000000	1.873896	650.000000	5.320473	650.000000	5.735114	650.000000	5.484992	650.000000	7.380374	650.000000	8.900978	650.000000	10.607354	650.000000	12.319264	650.000000	12.200465	650.000000	42.336616	650.000000	46.729532	650.000000	46.708198	650.000000	22.688705	650.000000	35.989266	650.000000	52.109733	650.000000	50.402963	650.000000	62.550646	650.000000	30.376620	650.000000	7.864017
660.000000	2.099664	660.000000	6.141786	660.000000	6.593948	660.000000	6.231215	660.000000	8.319365	660.000000	9.871226	660.000000	11.837501	660.000000	13.828019	660.000000	13.722790	660.000000	43.019899	660.000000	47.662018	660.000000	47.769511	660.000000	24.349559	660.000000	36.297283	660.000000	53.005973	660.000000	50.939172	660.000000	63.560527	660.000000	31.028164	660.000000	8.581765
