Labels,AD2,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1998.046900,
Step,1.9531250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts (a.u.),

785.156250,3.00000000E+0,
787.109380,2.00000000E+0,
789.062500,2.00000000E+0,
791.015630,5.00000000E+0,
792.968750,5.00000000E+0,
794.921880,6.00000000E+0,
796.87500,5.00000000E+0,
798.828130,7.00000000E+0,
800.781250,5.00000000E+0,
802.734380,3.00000000E+0,
804.687500,8.00000000E+0,
806.640630,8.00000000E+0,
808.593750,9.00000000E+0,
810.546880,9.00000000E+0,
812.500,5.00000000E+0,
814.453130,9.00000000E+0,
816.406250,9.00000000E+0,
818.359380,6.00000000E+0,
820.312500,9.00000000E+0,
822.265630,6.00000000E+0,
824.218750,5.00000000E+0,
826.171880,3.00000000E+0,
828.12500,4.00000000E+0,
830.078130,3.00000000E+0,
832.031250,7.00000000E+0,
833.984380,3.00000000E+0,
835.937500,3.00000000E+0,
837.890630,1.10000000E+1,
839.843750,1.10000000E+1,
841.796880,4.00000000E+0,
843.7500,7.00000000E+0,
845.703130,6.00000000E+0,
847.656250,8.00000000E+0,
849.609380,5.00000000E+0,
851.562500,5.00000000E+0,
853.515630,4.00000000E+0,
855.468750,3.00000000E+0,
857.421880,8.00000000E+0,
859.37500,2.00000000E+0,
861.328130,3.00000000E+0,
863.281250,5.00000000E+0,
865.234380,5.00000000E+0,
867.187500,8.00000000E+0,
869.140630,6.00000000E+0,
871.093750,3.00000000E+0,
873.046880,3.00000000E+0,
875.00,1.00000000E+1,
876.953130,3.00000000E+0,
878.906250,7.00000000E+0,
880.859380,6.00000000E+0,
882.812500,2.00000000E+0,
884.765630,6.00000000E+0,
886.718750,7.00000000E+0,
888.671880,2.00000000E+0,
890.62500,3.00000000E+0,
892.578130,6.00000000E+0,
894.531250,1.00000000E+0,
896.484380,6.00000000E+0,
898.437500,7.00000000E+0,
900.390630,5.00000000E+0,
902.343750,2.00000000E+0,
904.296880,6.00000000E+0,
906.2500,8.00000000E+0,
908.203130,5.00000000E+0,
910.156250,4.00000000E+0,
912.109380,3.00000000E+0,
914.062500,3.00000000E+0,
916.015630,2.00000000E+0,
917.968750,3.00000000E+0,
919.921880,8.00000000E+0,
921.87500,6.00000000E+0,
923.828130,5.00000000E+0,
925.781250,3.00000000E+0,
927.734380,5.00000000E+0,
929.687500,3.00000000E+0,
931.640630,5.00000000E+0,
933.593750,8.00000000E+0,
935.546880,5.00000000E+0,
937.500,8.00000000E+0,
939.453130,4.00000000E+0,
941.406250,3.00000000E+0,
943.359380,2.00000000E+0,
945.312500,1.20000000E+1,
947.265630,3.00000000E+0,
949.218750,6.00000000E+0,
951.171880,6.00000000E+0,
953.12500,9.00000000E+0,
955.078130,3.00000000E+0,
957.031250,4.00000000E+0,
958.984380,1.00000000E+0,
960.937500,5.00000000E+0,
962.890630,8.00000000E+0,
964.843750,7.00000000E+0,
966.796880,4.00000000E+0,
968.7500,8.00000000E+0,
970.703130,8.00000000E+0,
972.656250,5.00000000E+0,
974.609380,5.00000000E+0,
976.562500,5.00000000E+0,
978.515630,5.00000000E+0,
980.468750,7.00000000E+0,
982.421880,6.00000000E+0,
984.37500,7.00000000E+0,
986.328130,5.00000000E+0,
988.281250,3.00000000E+0,
990.234380,4.00000000E+0,
992.187500,5.00000000E+0,
994.140630,4.00000000E+0,
996.093750,1.20000000E+1,
998.046880,7.00000000E+0,
1000.00,6.00000000E+0,
1001.953100,5.00000000E+0,
1003.906300,6.00000000E+0,
1005.859400,4.00000000E+0,
1007.812500,3.00000000E+0,
1009.765600,6.00000000E+0,
1011.718800,6.00000000E+0,
1013.671900,2.00000000E+0,
1015.625000,4.00000000E+0,
1017.578100,4.00000000E+0,
1019.531300,3.00000000E+0,
1021.484400,4.00000000E+0,
1023.437500,2.00000000E+0,
1025.390600,3.00000000E+0,
1027.343800,7.00000000E+0,
1029.296900,8.00000000E+0,
1031.25000,6.00000000E+0,
1033.203100,3.00000000E+0,
1035.156300,3.00000000E+0,
1037.109400,8.00000000E+0,
1039.062500,3.00000000E+0,
1041.015600,2.00000000E+0,
1042.968800,6.00000000E+0,
1044.921900,6.00000000E+0,
1046.875000,6.00000000E+0,
1048.828100,3.00000000E+0,
1050.781300,7.00000000E+0,
1052.734400,5.00000000E+0,
1054.687500,7.00000000E+0,
1056.640600,7.00000000E+0,
1058.593800,3.00000000E+0,
1060.546900,2.00000000E+0,
1062.5000,6.00000000E+0,
1064.453100,7.00000000E+0,
1066.406300,1.00000000E+0,
1068.359400,5.00000000E+0,
1070.312500,1.10000000E+1,
1072.265600,5.00000000E+0,
1074.218800,5.00000000E+0,
1076.171900,8.00000000E+0,
1078.125000,5.00000000E+0,
1080.078100,5.00000000E+0,
