Vmeas,Imeas,name,substrate,position
0.8953,0.00026212,AD002-1,2,1
0.875,0.00031216,AD002-1,2,1
0.8547,0.00037146,AD002-1,2,1
0.83435,0.00043166,AD002-1,2,1
0.81405,0.00049451,AD002-1,2,1
0.79375,0.00056108,AD002-1,2,1
0.77345,0.00061467,AD002-1,2,1
0.7531,0.00067513,AD002-1,2,1
0.7328,0.00074822,AD002-1,2,1
0.7125,0.00082087,AD002-1,2,1
0.6922,0.00088345,AD002-1,2,1
0.67185,0.00092656,AD002-1,2,1
0.65155,0.00097127,AD002-1,2,1
0.63125,0.00104375,AD002-1,2,1
0.61095,0.00110147,AD002-1,2,1
0.5906,0.00116494,AD002-1,2,1
0.5703,0.0012169,AD002-1,2,1
0.55,0.00127378,AD002-1,2,1
0.5297,0.00131278,AD002-1,2,1
0.50935,0.00135408,AD002-1,2,1
0.48905,0.00138723,AD002-1,2,1
0.46875,0.0014245,AD002-1,2,1
0.44845,0.00145805,AD002-1,2,1
0.4281,0.00148222,AD002-1,2,1
0.4078,0.00150349,AD002-1,2,1
0.3875,0.00151991,AD002-1,2,1
0.3672,0.0015385,AD002-1,2,1
0.3469,0.00155227,AD002-1,2,1
0.32655,0.00156331,AD002-1,2,1
0.30625,0.0015726,AD002-1,2,1
0.28595,0.00158252,AD002-1,2,1
0.26565,0.00158856,AD002-1,2,1
0.2453,0.00159703,AD002-1,2,1
0.225,0.001604,AD002-1,2,1
0.2047,0.00161119,AD002-1,2,1
0.1844,0.00161571,AD002-1,2,1
0.16405,0.00162119,AD002-1,2,1
0.14375,0.00163282,AD002-1,2,1
0.12345,0.00163171,AD002-1,2,1
0.10315,0.00163838,AD002-1,2,1
0.0828,0.00164724,AD002-1,2,1
0.0625,0.00164868,AD002-1,2,1
0.0422,0.00165602,AD002-1,2,1
0.0219,0.00166787,AD002-1,2,1
0.00155,0.001678,AD002-1,2,1
-0.01875,0.00168066,AD002-1,2,1
-0.03905,0.00168248,AD002-1,2,1
-0.05935,0.00168458,AD002-1,2,1
-0.0797,0.00168453,AD002-1,2,1
-0.1,0.00168718,AD002-1,2,1
1.2,-0.00058725,AD002-2,2,2
1.1797,-0.00055177,AD002-2,2,2
1.15935,-0.00050068,AD002-2,2,2
1.13905,-0.00044277,AD002-2,2,2
1.11875,-0.00038669,AD002-2,2,2
1.09845,-0.00042832,AD002-2,2,2
1.0781,-0.00038232,AD002-2,2,2
1.0578,-0.00021834,AD002-2,2,2
1.0375,-0.00016385,AD002-2,2,2
1.0172,-0.00010939,AD002-2,2,2
0.99685,-5.47e-05,AD002-2,2,2
0.97655,-3.8e-07,AD002-2,2,2
0.95625,-6.44e-05,AD002-2,2,2
0.93595,-1.229e-05,AD002-2,2,2
0.9156,3.93e-05,AD002-2,2,2
0.8953,0.00021182,AD002-2,2,2
0.875,0.00026611,AD002-2,2,2
0.8547,0.00028291,AD002-2,2,2
0.83435,0.00022775,AD002-2,2,2
0.81405,0.00026921,AD002-2,2,2
0.79375,0.00031145,AD002-2,2,2
0.77345,0.00036186,AD002-2,2,2
0.7531,0.00040603,AD002-2,2,2
0.7328,0.00045135,AD002-2,2,2
0.7125,0.0006866,AD002-2,2,2
0.6922,0.00075174,AD002-2,2,2
0.67185,0.00081267,AD002-2,2,2
0.65155,0.00087003,AD002-2,2,2
0.63125,0.00092286,AD002-2,2,2
0.61095,0.00097349,AD002-2,2,2
0.5906,0.00102106,AD002-2,2,2
0.5703,0.00105059,AD002-2,2,2
0.55,0.00110842,AD002-2,2,2
0.5297,0.0011417,AD002-2,2,2
0.50935,0.00117151,AD002-2,2,2
0.48905,0.00119922,AD002-2,2,2
0.46875,0.00122039,AD002-2,2,2
0.44845,0.0012401,AD002-2,2,2
0.4281,0.00125599,AD002-2,2,2
0.4078,0.00126687,AD002-2,2,2
0.3875,0.0012823,AD002-2,2,2
0.3672,0.00129485,AD002-2,2,2
0.3469,0.00130431,AD002-2,2,2
0.32655,0.00131571,AD002-2,2,2
0.30625,0.00132396,AD002-2,2,2
0.28595,0.00112751,AD002-2,2,2
0.26565,0.00112003,AD002-2,2,2
0.2453,0.00111978,AD002-2,2,2
0.225,0.00113952,AD002-2,2,2
0.2047,0.00115168,AD002-2,2,2
0.1844,0.00115558,AD002-2,2,2
0.16405,0.00116441,AD002-2,2,2
0.14375,0.00117082,AD002-2,2,2
0.12345,0.00118373,AD002-2,2,2
0.10315,0.00120059,AD002-2,2,2
0.0828,0.00121138,AD002-2,2,2
0.0625,0.00122728,AD002-2,2,2
0.0422,0.00123904,AD002-2,2,2
0.0219,0.00124812,AD002-2,2,2
0.00155,0.00126014,AD002-2,2,2
-0.01875,0.00138613,AD002-2,2,2
-0.03905,0.00130173,AD002-2,2,2
-0.05935,0.00130928,AD002-2,2,2
-0.0797,0.00131702,AD002-2,2,2
-0.1,0.00132403,AD002-2,2,2
1.2,-0.00311784,AD002-3,2,3
1.1797,-0.00279021,AD002-3,2,3
1.15935,-0.00246372,AD002-3,2,3
1.13905,-0.00214269,AD002-3,2,3
1.11875,-0.00182752,AD002-3,2,3
1.09845,-0.0015182,AD002-3,2,3
1.0781,-0.00121514,AD002-3,2,3
1.0578,-0.0009162,AD002-3,2,3
1.0375,-0.00062978,AD002-3,2,3
1.0172,-0.00035313,AD002-3,2,3
0.99685,-8.709e-05,AD002-3,2,3
0.97655,0.00016643,AD002-3,2,3
0.95625,0.00040617,AD002-3,2,3
0.93595,0.00062818,AD002-3,2,3
0.9156,0.00082888,AD002-3,2,3
0.8953,0.00100906,AD002-3,2,3
0.875,0.00115413,AD002-3,2,3
0.8547,0.00128711,AD002-3,2,3
0.83435,0.00139297,AD002-3,2,3
0.81405,0.00147414,AD002-3,2,3
0.79375,0.00153368,AD002-3,2,3
0.77345,0.00157606,AD002-3,2,3
0.7531,0.00160608,AD002-3,2,3
0.7328,0.00162885,AD002-3,2,3
0.7125,0.00164478,AD002-3,2,3
0.6922,0.00165687,AD002-3,2,3
0.67185,0.00166623,AD002-3,2,3
0.65155,0.00167432,AD002-3,2,3
0.63125,0.00168147,AD002-3,2,3
0.61095,0.00168684,AD002-3,2,3
0.5906,0.00169324,AD002-3,2,3
0.5703,0.00169833,AD002-3,2,3
0.55,0.00170319,AD002-3,2,3
0.5297,0.00170787,AD002-3,2,3
0.50935,0.00171217,AD002-3,2,3
0.48905,0.00171584,AD002-3,2,3
0.46875,0.00171955,AD002-3,2,3
0.44845,0.00172316,AD002-3,2,3
0.4281,0.00172667,AD002-3,2,3
0.4078,0.00172976,AD002-3,2,3
0.3875,0.00173232,AD002-3,2,3
0.3672,0.00173521,AD002-3,2,3
0.3469,0.0017379,AD002-3,2,3
0.32655,0.0017405,AD002-3,2,3
0.30625,0.00174291,AD002-3,2,3
0.28595,0.00174523,AD002-3,2,3
0.26565,0.00174706,AD002-3,2,3
0.2453,0.00174897,AD002-3,2,3
0.225,0.00175079,AD002-3,2,3
0.2047,0.00175262,AD002-3,2,3
0.1844,0.00175434,AD002-3,2,3
0.16405,0.00175661,AD002-3,2,3
0.14375,0.0017573,AD002-3,2,3
0.12345,0.00175917,AD002-3,2,3
0.10315,0.00175992,AD002-3,2,3
0.0828,0.0017614,AD002-3,2,3
0.0625,0.00176312,AD002-3,2,3
0.0422,0.0017637,AD002-3,2,3
0.0219,0.00176388,AD002-3,2,3
0.00155,0.00176527,AD002-3,2,3
-0.01875,0.00176683,AD002-3,2,3
-0.03905,0.00176719,AD002-3,2,3
-0.05935,0.00176855,AD002-3,2,3
-0.0797,0.00176885,AD002-3,2,3
-0.1,0.00176929,AD002-3,2,3
1.2,-0.00233012,AD003-1,3,1
1.1797,-0.00204565,AD003-1,3,1
1.15935,-0.00176122,AD003-1,3,1
1.13905,-0.00148363,AD003-1,3,1
1.11875,-0.00121214,AD003-1,3,1
1.09845,-0.00094336,AD003-1,3,1
1.0781,-0.00068612,AD003-1,3,1
1.0578,-0.00043749,AD003-1,3,1
1.0375,-0.0001992,AD003-1,3,1
1.0172,2.735e-05,AD003-1,3,1
0.99685,0.00024101,AD003-1,3,1
0.97655,0.0004416,AD003-1,3,1
0.95625,0.00062415,AD003-1,3,1
0.93595,0.00078753,AD003-1,3,1
0.9156,0.00092993,AD003-1,3,1
0.8953,0.00104853,AD003-1,3,1
0.875,0.0011366,AD003-1,3,1
0.8547,0.00121402,AD003-1,3,1
0.83435,0.00127137,AD003-1,3,1
0.81405,0.00131157,AD003-1,3,1
0.79375,0.00134031,AD003-1,3,1
0.77345,0.00135968,AD003-1,3,1
0.7531,0.00137453,AD003-1,3,1
0.7328,0.00138346,AD003-1,3,1
0.7125,0.00139088,AD003-1,3,1
0.6922,0.00139683,AD003-1,3,1
0.67185,0.00140099,AD003-1,3,1
0.65155,0.00140439,AD003-1,3,1
0.63125,0.00140799,AD003-1,3,1
0.61095,0.00141044,AD003-1,3,1
0.5906,0.00141274,AD003-1,3,1
0.5703,0.00141521,AD003-1,3,1
0.55,0.00141781,AD003-1,3,1
0.5297,0.00141856,AD003-1,3,1
0.50935,0.00142052,AD003-1,3,1
0.48905,0.0014228,AD003-1,3,1
0.46875,0.00142406,AD003-1,3,1
0.44845,0.00142555,AD003-1,3,1
0.4281,0.00142691,AD003-1,3,1
0.4078,0.00142745,AD003-1,3,1
0.3875,0.00142925,AD003-1,3,1
0.3672,0.00143046,AD003-1,3,1
0.3469,0.00143187,AD003-1,3,1
0.32655,0.00143272,AD003-1,3,1
0.30625,0.0014339,AD003-1,3,1
0.28595,0.00143486,AD003-1,3,1
0.26565,0.00143571,AD003-1,3,1
0.2453,0.00143618,AD003-1,3,1
0.225,0.00143688,AD003-1,3,1
0.2047,0.00143783,AD003-1,3,1
0.1844,0.00143851,AD003-1,3,1
0.16405,0.00143905,AD003-1,3,1
0.14375,0.00144035,AD003-1,3,1
0.12345,0.00144056,AD003-1,3,1
0.10315,0.00144163,AD003-1,3,1
0.0828,0.00144122,AD003-1,3,1
0.0625,0.00144233,AD003-1,3,1
0.0422,0.00144311,AD003-1,3,1
0.0219,0.00144346,AD003-1,3,1
0.00155,0.00144409,AD003-1,3,1
-0.01875,0.0014445,AD003-1,3,1
-0.03905,0.00144438,AD003-1,3,1
-0.05935,0.00144491,AD003-1,3,1
-0.0797,0.00144474,AD003-1,3,1
-0.1,0.00144563,AD003-1,3,1
1.2,-0.00198355,AD003-2,3,2
1.1797,-0.00190091,AD003-2,3,2
1.15935,-0.00175147,AD003-2,3,2
1.13905,-0.0015989,AD003-2,3,2
1.11875,-0.00138139,AD003-2,3,2
1.09845,-0.00119938,AD003-2,3,2
1.0781,-0.00100679,AD003-2,3,2
1.0578,-0.00120799,AD003-2,3,2
1.0375,-0.00167899,AD003-2,3,2
1.0172,-0.00153747,AD003-2,3,2
0.99685,-0.00135889,AD003-2,3,2
0.97655,-0.00014727,AD003-2,3,2
0.95625,-3.26e-06,AD003-2,3,2
0.93595,0.00013917,AD003-2,3,2
0.9156,0.00027731,AD003-2,3,2
0.8953,0.00040596,AD003-2,3,2
0.875,0.00052395,AD003-2,3,2
0.8547,0.00063093,AD003-2,3,2
0.83435,0.00072383,AD003-2,3,2
0.81405,0.00080914,AD003-2,3,2
0.79375,0.00070833,AD003-2,3,2
0.77345,0.00018856,AD003-2,3,2
0.7531,0.00098383,AD003-2,3,2
0.7328,0.00104787,AD003-2,3,2
0.7125,0.00032068,AD003-2,3,2
0.6922,0.00109101,AD003-2,3,2
0.67185,0.00113507,AD003-2,3,2
0.65155,0.0011715,AD003-2,3,2
0.63125,0.00119824,AD003-2,3,2
0.61095,0.00122251,AD003-2,3,2
0.5906,0.00124102,AD003-2,3,2
0.5703,0.00125871,AD003-2,3,2
0.55,0.00127251,AD003-2,3,2
0.5297,0.00128723,AD003-2,3,2
0.50935,0.0013012,AD003-2,3,2
0.48905,0.00131346,AD003-2,3,2
0.46875,0.00132559,AD003-2,3,2
0.44845,0.00133663,AD003-2,3,2
0.4281,0.00134711,AD003-2,3,2
0.4078,0.00135692,AD003-2,3,2
0.3875,0.00136542,AD003-2,3,2
0.3672,0.00137255,AD003-2,3,2
0.3469,0.00117019,AD003-2,3,2
0.32655,0.00111849,AD003-2,3,2
0.30625,0.00111416,AD003-2,3,2
0.28595,0.00114105,AD003-2,3,2
0.26565,0.00115424,AD003-2,3,2
0.2453,0.00117314,AD003-2,3,2
0.225,0.00119255,AD003-2,3,2
0.2047,0.00121373,AD003-2,3,2
0.1844,0.00123669,AD003-2,3,2
0.16405,0.00125742,AD003-2,3,2
0.14375,0.00127602,AD003-2,3,2
0.12345,0.00129797,AD003-2,3,2
0.10315,0.00131783,AD003-2,3,2
0.0828,0.0013385,AD003-2,3,2
0.0625,0.00136046,AD003-2,3,2
0.0422,0.00138072,AD003-2,3,2
0.0219,0.00140026,AD003-2,3,2
0.00155,0.00141981,AD003-2,3,2
-0.01875,0.00143944,AD003-2,3,2
-0.03905,0.00145635,AD003-2,3,2
-0.05935,0.00147468,AD003-2,3,2
-0.0797,0.00149291,AD003-2,3,2
-0.1,0.00150008,AD003-2,3,2
1.2,-0.0023876,AD003-3,3,3
1.1797,-0.00213926,AD003-3,3,3
1.15935,-0.00188518,AD003-3,3,3
1.13905,-0.00163063,AD003-3,3,3
1.11875,-0.00138188,AD003-3,3,3
1.09845,-0.00113787,AD003-3,3,3
1.0781,-0.00089413,AD003-3,3,3
1.0578,-0.00066438,AD003-3,3,3
1.0375,-0.00044211,AD003-3,3,3
1.0172,-0.00022743,AD003-3,3,3
0.99685,-2.38e-05,AD003-3,3,3
0.97655,0.00015815,AD003-3,3,3
0.95625,0.00033994,AD003-3,3,3
0.93595,0.0005059,AD003-3,3,3
0.9156,0.00065331,AD003-3,3,3
0.8953,0.00078267,AD003-3,3,3
0.875,0.00089398,AD003-3,3,3
0.8547,0.00098621,AD003-3,3,3
0.83435,0.00105019,AD003-3,3,3
0.81405,0.0011014,AD003-3,3,3
0.79375,0.00115328,AD003-3,3,3
0.77345,0.00119294,AD003-3,3,3
0.7531,0.00122316,AD003-3,3,3
0.7328,0.0012466,AD003-3,3,3
0.7125,0.001266,AD003-3,3,3
0.6922,0.00128226,AD003-3,3,3
0.67185,0.00129501,AD003-3,3,3
0.65155,0.00130706,AD003-3,3,3
0.63125,0.00131804,AD003-3,3,3
0.61095,0.00132777,AD003-3,3,3
0.5906,0.00133592,AD003-3,3,3
0.5703,0.00134439,AD003-3,3,3
0.55,0.00135091,AD003-3,3,3
0.5297,0.00135756,AD003-3,3,3
0.50935,0.00136335,AD003-3,3,3
0.48905,0.00136867,AD003-3,3,3
0.46875,0.00137338,AD003-3,3,3
0.44845,0.00137876,AD003-3,3,3
0.4281,0.00138398,AD003-3,3,3
0.4078,0.00138883,AD003-3,3,3
0.3875,0.00139175,AD003-3,3,3
0.3672,0.00139596,AD003-3,3,3
0.3469,0.00140036,AD003-3,3,3
0.32655,0.00140328,AD003-3,3,3
0.30625,0.00140601,AD003-3,3,3
0.28595,0.00140814,AD003-3,3,3
0.26565,0.0014105,AD003-3,3,3
0.2453,0.0014122,AD003-3,3,3
0.225,0.00141362,AD003-3,3,3
0.2047,0.00141728,AD003-3,3,3
0.1844,0.00141943,AD003-3,3,3
0.16405,0.00142211,AD003-3,3,3
0.14375,0.00142546,AD003-3,3,3
0.12345,0.00142646,AD003-3,3,3
0.10315,0.00142809,AD003-3,3,3
0.0828,0.00142991,AD003-3,3,3
0.0625,0.00143089,AD003-3,3,3
0.0422,0.001432,AD003-3,3,3
0.0219,0.0014328,AD003-3,3,3
0.00155,0.00143385,AD003-3,3,3
-0.01875,0.00143508,AD003-3,3,3
-0.03905,0.00143521,AD003-3,3,3
-0.05935,0.00143667,AD003-3,3,3
-0.0797,0.00143708,AD003-3,3,3
-0.1,0.00143738,AD003-3,3,3
1.2,-0.00170299,AD004-1,4,1
1.1797,-0.00144739,AD004-1,4,1
1.15935,-0.00119488,AD004-1,4,1
1.13905,-0.00094323,AD004-1,4,1
1.11875,-0.0007045,AD004-1,4,1
1.09845,-0.00047368,AD004-1,4,1
1.0781,-0.00025132,AD004-1,4,1
1.0578,-3.965e-05,AD004-1,4,1
1.0375,0.00015983,AD004-1,4,1
1.0172,0.00034728,AD004-1,4,1
0.99685,0.00051991,AD004-1,4,1
0.97655,0.00067578,AD004-1,4,1
0.95625,0.0008133,AD004-1,4,1
0.93595,0.00093262,AD004-1,4,1
0.9156,0.00103321,AD004-1,4,1
0.8953,0.00111014,AD004-1,4,1
0.875,0.00117895,AD004-1,4,1
0.8547,0.0012328,AD004-1,4,1
0.83435,0.00127383,AD004-1,4,1
0.81405,0.00130599,AD004-1,4,1
0.79375,0.00133091,AD004-1,4,1
0.77345,0.00134979,AD004-1,4,1
0.7531,0.00136467,AD004-1,4,1
0.7328,0.00137669,AD004-1,4,1
0.7125,0.0013867,AD004-1,4,1
0.6922,0.00139378,AD004-1,4,1
0.67185,0.00139983,AD004-1,4,1
0.65155,0.00140523,AD004-1,4,1
0.63125,0.00140967,AD004-1,4,1
0.61095,0.00141373,AD004-1,4,1
0.5906,0.00141757,AD004-1,4,1
0.5703,0.00142074,AD004-1,4,1
0.55,0.00142329,AD004-1,4,1
0.5297,0.00142573,AD004-1,4,1
0.50935,0.00142772,AD004-1,4,1
0.48905,0.00142988,AD004-1,4,1
0.46875,0.0014317,AD004-1,4,1
0.44845,0.00143368,AD004-1,4,1
0.4281,0.00143498,AD004-1,4,1
0.4078,0.00143659,AD004-1,4,1
0.3875,0.00143763,AD004-1,4,1
0.3672,0.00143885,AD004-1,4,1
0.3469,0.00144044,AD004-1,4,1
0.32655,0.0014411,AD004-1,4,1
0.30625,0.0014425,AD004-1,4,1
0.28595,0.00144388,AD004-1,4,1
0.26565,0.00144384,AD004-1,4,1
