Collective data

Labels,AD4,AD3,AD2,AD1,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,700.00,700.00,700.00,700.00,
Stop,900.00,900.00,900.00,900.00,
Step,2.00,2.00,2.00,2.00,
Fixed/Offset,634.300,634.300,634.300,634.300,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,0.99968487,0.99968487,0.99968487,0.99968487,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,0.99968487,0.99968487,0.99968487,0.99968487,
Detector,Detector 1,Detector 1,Detector 1,Detector 1,

874.00,8.47081797E+4,2.17457871E+4,1.72441846E+3,5.86424365E+3,
876.00,5.48804141E+4,3.09998203E+4,3.73413940E+2,8.58673145E+3,
878.00,5.73101328E+4,2.19714453E+4,-1.22089038E+3,2.43974561E+3,
880.00,4.72184453E+4,2.71728809E+4,7.12434326E+3,8.45135645E+3,
882.00,4.23221875E+4,2.60279609E+4,1.47328076E+3,3.42979858E+3,
884.00,5.25705195E+4,2.18405625E+4,3.82368994E+3,8.18169629E+3,
886.00,3.18606680E+4,1.10011436E+4,2.44368115E+3,2.44266455E+3,
888.00,3.10284473E+4,1.37703145E+4,0.00000000E+0,3.43971313E+3,
890.00,4.69617422E+4,6.26287207E+3,-3.91756226E+3,7.81880798E+2,
892.00,2.32194316E+4,-8.94359741E+2,-8.95106873E+2,5.34941357E+3,
894.00,1.73599297E+4,1.12399209E+4,7.16312988E+3,6.11556738E+3,
896.00,1.52587354E+4,1.05659404E+4,1.99828672E+4,1.52460342E+4,
898.00,1.08463711E+4,9.48859863E+3,1.08486299E+4,8.12462598E+3,
900.00,1.56681914E+4,2.34437031E+4,3.13037915E+3,1.56518945E+4,
